STN,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH, EV24
  370,20220206,  238,   80,   89,  120,    1,   60,   14,  200,   18,   68,   36,   18,   89,   13,   31,   24,    3,    3,  104,  142,  253,   50,   12,10047,10117,    1, 9993,   12,   33,   18,   78,   23,    8,   87,   94,    6,   68,   23,    1
  370,20220207,  253,   42,   48,   60,    2,   20,   18,  180,    2,   54,   29,   18,   81,   15,    8,   18,   64,   67,  630,    9,    9,    4,    2,10234,10275,   18,10107,    1,   50,    2,   81,   16,    7,   76,   85,    8,   59,   15,    8
  370,20220208,  225,   60,   61,   70,    3,   50,    7,  120,   12,   91,   59,    1,  117,   13,   58,    6,    6,    6,  331,    8,    3,    1,    3,10272,10279,   18,10265,    3,   41,    3,   75,   12,    8,   86,   97,    2,   73,   13,    5
  370,20220209,  221,   43,   45,   70,    4,   10,   18,  120,   12,   92,   81,    8,  114,   15,   78,   12,    8,    8,  324,    2,    1,    1,   13,10249,10270,    1,10217,   24,   50,    3,   75,   10,    8,   83,   93,    1,   74,   14,    5
  370,20220210,  231,   26,   31,   40,    7,   20,    4,   80,   17,   64,   17,   24,   90,    1,    9,   24,    6,    6,  268,   30,   12,    6,    9,10208,10228,   24,10188,    6,   21,    9,   75,   13,    7,   86,   97,    9,   71,   14,    4
  370,20220211,  284,   27,   35,   70,   12,    0,   24,  120,    5,   33,  -29,   23,   77,   16,  -59,   24,   62,   64,  659,    1,    1,    1,    3,10302,10347,   20,10226,    1,   60,    3,   82,   14,    4,   77,   97,   23,   44,   14,    8
  370,20220212,  173,   34,   35,   60,   13,   10,    1,  100,   13,   19,  -39,    1,   75,   13,  -62,    6,   70,   72,  839,    0,    0,    0,    1,10266,10337,    1,10194,   24,   63,    1,   82,   17,    7,   72,   96,    2,   47,   13,   10
  370,20220213,  180,   57,   58,   80,   21,   30,    1,  150,   24,   64,    2,    3,  111,   24,  -12,    6,   77,   78,  702,    0,    0,    0,    1,10096,10189,    1,10004,   24,   75,    1,   83,   16,    8,   65,   77,    1,   55,   13,    9
  370,20220214,  206,   62,   66,   80,    7,   40,   19,  150,    7,   92,   60,   23,  116,    7,   45,   24,   37,   37,  483,   13,    9,    4,   14,10014,10069,   24, 9970,    6,   57,    8,   83,    1,    6,   74,   90,    9,   63,    1,    7
  370,20220215,  211,   64,   65,   90,   14,   30,    1,  140,   15,   73,   41,    4,   98,   14,   33,    6,   50,   50,  689,   68,   61,   17,   19,10085,10121,   10,10040,   24,   56,    7,   82,   12,    8,   84,   95,    4,   62,   14,    9
